objectid,st_case,year,state,county,fatals,a_crainj,a_region,a_ru,a_inter,a_relrd,a_intsec,a_roadfc,a_junc,a_mancol,a_tod,a_dow,a_ct,a_weather,a_lt,a_mc,a_spcra,a_ped,a_ped_f,a_pedal,a_pedal_f,a_roll,a_polpur,a_posbac,a_d15_19,a_d16_19,a_d15_20,a_d16_20,a_d65_pls,a_d21_24,a_d16_24,a_rd,a_hr,a_dist,a_drowsy,bia,spj_indian,indian_res
83,10084,2020,1,25,1,1,4,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
84,10085,2020,1,33,1,1,4,1,2,4,2,5,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
85,10086,2020,1,121,1,1,4,2,2,4,2,5,2,1,1,1,1,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
86,10087,2020,1,33,1,1,4,2,2,3,2,3,2,1,2,1,1,13,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
87,10088,2020,1,15,1,1,4,1,2,1,2,4,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
88,10089,2020,1,13,1,1,4,1,2,1,1,4,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,0,0,0
89,10090,2020,1,9,2,1,4,1,2,1,1,3,1,5,1,1,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
90,10091,2020,1,43,1,1,4,2,2,1,1,5,1,4,1,2,2,1,2,2,2,2,2,2,2,1,2,3,1,2,1,2,2,2,2,2,2,2,2,0,0,0
91,10092,2020,1,91,1,1,4,1,2,1,1,3,1,4,1,2,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
92,10093,2020,1,73,1,1,4,2,2,4,2,5,2,1,1,2,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
